曲名,アーティスト,アルバム,再生時間,ビットレート(kbps),サンプリングレート(Hz),ファイルサイズ(MB),拡張子,ファイルパス
"David Aaron Carpenter: The 12 Seasons for Viola (Vivaldi, Piazzolla, Shor)",,,7:56,192,44100,10.9,.mp3,E:\MUSIC\2 classical\The 12 Seasons for Viola .mp3
"Ave Maria, D. 839",Barbara Bonney · Geoffrey Parsons,Schubert : Lieder,6:19,192,44100,8.7,.mp3,"E:\MUSIC\2 classical\Ave Maria, D. 839.mp3"
J.S. Bach: The Violin Concertos,,,79:50,192,44100,109.7,.mp3,E:\MUSIC\2 classical\J.S. Bach_ The Violin Concertos.mp3
ベートーヴェン － 交響曲 第１番 ハ短調 Op.21　　カラヤン　ベルリンフィル,,,25:17,192,44100,34.8,.mp3,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第１番 ハ短調 Op.21　　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲 第２番 ニ長調 Op.36　　カラヤン　ベルリンフィル,,,31:20,192,44100,43.1,.mp3,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第２番 ニ長調 Op.36　　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲 第３番 変ホ長調 Op.55《英雄》　カラヤン　ベルリンフィル,,,50:06,192,44100,68.9,.mp3,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第３番 変ホ長調 Op.55《英雄》　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲 第４番 変ロ長調 Op.60　　カラヤン　ベルリンフィル,,,31:01,192,44100,42.7,.mp3,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第４番 変ロ長調 Op.60　　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲第５番《運命》Ｏｐ67　交響曲第６番《田園》Ｏｐ68　　カラヤン　ベルリンフィル　1962,,,67:16,192,44100,92.4,.mp3,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第５番《運命》Ｏｐ67　交響曲第６番《田園》Ｏｐ68　　カラヤン　ベルリンフィル　1962.mp3
ベートーヴェン － 交響曲 第７番 イ長調 Op.92　　カラヤン　ベルリンフィル,,,34:05,192,44100,46.9,.mp3,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第７番 イ長調 Op.92　　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲 第８番 ヘ長調 Op.93　　カラヤン　ベルリンフィル,,,26:24,192,44100,36.3,.mp3,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第８番 ヘ長調 Op.93　　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲 第９番 ニ短調 Op.125《合唱》　カラヤン　ベルリンフィル　1962　（日本語訳付き）,,,66:59,192,44100,92.1,.mp3,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第９番 ニ短調 Op.125《合唱》　カラヤン　ベルリンフィル　1962　（日本語訳付き）.mp3
"ベートーヴェン ピアノ・ソナタ 第8番 ≪悲 愴≫ ホロヴィッツ  Beethoven ""Grande Sonate pathetique""",,,18:33,192,44100,25.5,.mp3,E:\MUSIC\2 classical\ベートーヴェン ピアノ・ソナタ 第8番 ≪悲 愴≫ ホロヴィッツ  Beethoven Grande Sonate pathetique.mp3
Bolero  (Gergiev),,,17:30,192,44100,24.1,.mp3,E:\MUSIC\2 classical\Bolero  (Gergiev).mp3
,,,72:58,125,44100,66.3,.m4a,E:\MUSIC\2 classical\Debussy.m4a
Coro Madrigale (2008),"Jesus, bleibet meine Freude",,3:22,192,44100,4.7,.mp3,E:\MUSIC\2 classical\Desiring.mp3
"Beethoven: String Quartet No. 4 in C Minor, Op. 18 No. 4 - 1. Allegro ma non tanto",Emerson String Quartet,Beethoven:The String Quartets,8:11,192,44100,11.3,.mp3,"E:\MUSIC\2 classical\Emerson String Quartet - Beethoven_ String Quartet No. 4 in C Minor, Op. 18 No. 4 - 1. Allegro ma non tanto.mp3"
"Beethoven: String Quartet No. 4 in C Minor, Op. 18 No. 4 - 3. Menuetto. Allegretto",Emerson String Quartet,Beethoven:The String Quartets,3:22,192,44100,4.7,.mp3,"E:\MUSIC\2 classical\Emerson String Quartet - Beethoven_ String Quartet No. 4 in C Minor, Op. 18 No. 4 - 3. Menuetto. Allegretto.mp3"
Hungarian Dance No.5,Brahms,,2:24,192,44100,3.4,.mp3,E:\MUSIC\2 classical\Brahms - Hungarian Dance No.5.mp3
Prince Igor,Alexander Borodin,,10:55,192,44100,15.0,.mp3,E:\MUSIC\2 classical\Alexander Borodin - Prince Igor.mp3
"Mozart: Sinfonia concertante for Violin, Viola and Orchestra in E flat, K.364 - 3. Presto",Arthur Grumiaux · Arrigo Pelliccia · London Symphony Orchestra · Sir Colin Davis,Mozart: Violin Concertos Nos. 1/5 etc.,6:19,192,44100,8.7,.mp3,"E:\MUSIC\2 classical\Arthur Grumiaux · Arrigo Pelliccia · London Symphony Orchestra · Sir Colin Davis - Mozart_ Sinfonia concertante for Violin, Viola and Orchestra in E flat, K.364 - 3. Presto.mp3"
,,,4:28,320,44100,10.2,.mp3,E:\MUSIC\2 classical\La Campanella.mp3
Hungarian Rhapsody No.2 (Orchestra version),Franz Liszt,,10:31,192,44100,14.5,.mp3,E:\MUSIC\2 classical\Franz Liszt - Hungarian Rhapsody No.2 (Orchestra version).mp3
"Complete Symphonies 21-41 Jupiter, Paris, Prague.. (Century's recording : Josef Krips)",Mozart,,387:17,192,44100,532.0,.mp3,"E:\MUSIC\2 classical\Mozart - Complete Symphonies 21-41 Jupiter, Paris, Prague.. (Century's recording _ Josef Krips).mp3"
"Dvořák: Symphony No. 9 ""From the New World"" / Karajan · Berliner Philharmoniker",,,3:04,192,44100,4.5,.mp3,E:\MUSIC\2 classical\Dvořák_ Symphony No. 9 From the New World _ Karajan · Berliner Philharmoniker.mp3
The Best Of Opera Masterpieces . 6 Hours CLASSICAL MUSIC NON STOP.,,,404:35,192,44100,555.7,.mp3,E:\MUSIC\2 classical\Opera Masterpieces.mp3
The Second Waltz (Piano) // SHOSTAKOVICH,,,3:59,192,44100,5.6,.mp3,E:\MUSIC\2 classical\The Second Waltz.mp3
The Best of Shostakovich,,,209:29,192,44100,287.7,.mp3,E:\MUSIC\2 classical\Shostakovich.mp3
,,,5:44,125,44100,5.2,.m4a,"E:\MUSIC\2 classical\Eine Kleine Nachtmusik, K 525 Allegro.m4a"
,,,4:11,320,44100,9.6,.mp3,E:\MUSIC\2 classical\Antonio Vivaldi  Concierto alla Rustica RV 151 en Sol Mayor - Obra Completa.mp3
,,,2:57,125,44100,2.7,.m4a,E:\MUSIC\2 classical\Antonio Vivaldi - Storm_2.m4a
メンデルスゾーン ピアノ三重奏曲 第1番 ニ短調 Op 49  mendelssohn   piano trio no. 1,,,28:15,192,44100,38.8,.mp3,E:\MUSIC\2 classical\mendelssohn   piano trio no. 1.mp3
ワーグナー: 歌劇｢ローエングリン｣：婚礼の合唱［ナクソス・クラシック・キュレーション #癒し］,,,4:53,192,44100,6.8,.mp3,E:\MUSIC\2 classical\婚礼の合唱.mp3
,,,6:47,127,44100,6.3,.m4a,"E:\MUSIC\2 classical\Beethoven Moonlight Sonata, III Presto Agitato Valentina Lisitsa.m4a"
,,,25:49,128,44100,23.7,.mp3,"E:\MUSIC\2 classical\Mozart  Symphony No. 40, Walter   ColumbiaSO (1959) モーツァルト 交響曲第40番 ワルター.mp3"
,,,27:08,128,44100,24.9,.mp3,"E:\MUSIC\2 classical\Mozart - Symphony No. 41 in C major, K. 551, Jupiter.mp3"
,,,3:20,128,44100,3.1,.mp3,E:\MUSIC\2 classical\Mozart - Lacrimosa.mp3
,,,2:23,128,44100,2.3,.mp3,E:\MUSIC\2 classical\Ｊ.Ｓ.バッハ 無伴奏チェロ組曲　第1番～プレリュード～／中木健二.mp3
