曲名,アーティスト,アルバム,ファイルパス
"David Aaron Carpenter: The 12 Seasons for Viola (Vivaldi, Piazzolla, Shor)",,,E:\MUSIC\2 classical\The 12 Seasons for Viola .mp3
"Ave Maria, D. 839",Barbara Bonney · Geoffrey Parsons,Schubert : Lieder,"E:\MUSIC\2 classical\Ave Maria, D. 839.mp3"
J.S. Bach: The Violin Concertos,,,E:\MUSIC\2 classical\J.S. Bach_ The Violin Concertos.mp3
ベートーヴェン － 交響曲 第１番 ハ短調 Op.21　　カラヤン　ベルリンフィル,,,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第１番 ハ短調 Op.21　　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲 第２番 ニ長調 Op.36　　カラヤン　ベルリンフィル,,,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第２番 ニ長調 Op.36　　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲 第３番 変ホ長調 Op.55《英雄》　カラヤン　ベルリンフィル,,,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第３番 変ホ長調 Op.55《英雄》　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲 第４番 変ロ長調 Op.60　　カラヤン　ベルリンフィル,,,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第４番 変ロ長調 Op.60　　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲第５番《運命》Ｏｐ67　交響曲第６番《田園》Ｏｐ68　　カラヤン　ベルリンフィル　1962,,,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第５番《運命》Ｏｐ67　交響曲第６番《田園》Ｏｐ68　　カラヤン　ベルリンフィル　1962.mp3
ベートーヴェン － 交響曲 第７番 イ長調 Op.92　　カラヤン　ベルリンフィル,,,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第７番 イ長調 Op.92　　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲 第８番 ヘ長調 Op.93　　カラヤン　ベルリンフィル,,,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第８番 ヘ長調 Op.93　　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲 第９番 ニ短調 Op.125《合唱》　カラヤン　ベルリンフィル　1962　（日本語訳付き）,,,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第９番 ニ短調 Op.125《合唱》　カラヤン　ベルリンフィル　1962　（日本語訳付き）.mp3
"ベートーヴェン ピアノ・ソナタ 第8番 ≪悲 愴≫ ホロヴィッツ  Beethoven ""Grande Sonate pathetique""",,,E:\MUSIC\2 classical\ベートーヴェン ピアノ・ソナタ 第8番 ≪悲 愴≫ ホロヴィッツ  Beethoven Grande Sonate pathetique.mp3
Bolero  (Gergiev),,,E:\MUSIC\2 classical\Bolero  (Gergiev).mp3
Coro Madrigale (2008),"Jesus, bleibet meine Freude",,E:\MUSIC\2 classical\Desiring.mp3
"Beethoven: String Quartet No. 4 in C Minor, Op. 18 No. 4 - 1. Allegro ma non tanto",Emerson String Quartet,Beethoven:The String Quartets,"E:\MUSIC\2 classical\Emerson String Quartet - Beethoven_ String Quartet No. 4 in C Minor, Op. 18 No. 4 - 1. Allegro ma non tanto.mp3"
